dataset,group,queryName,method,actual,estimated,relativeError,qError,fitTimeMs,inferTotalMs,inferPerQueryUs,throughputQps,heapDeltaBytes
synthetic_D2,medium,synthetic_D2_medium_104,ProposedCEDEstimator,1973.0,1941.7075,0.015860,1.016116,262.710,11.787,19.645,50903.914,131424
synthetic_D2,medium,synthetic_D2_medium_105,ProposedCEDEstimator,1031.0,898.2803,0.128729,1.147749,262.710,11.787,19.645,50903.914,131424
synthetic_D2,medium,synthetic_D2_medium_106,ProposedCEDEstimator,2281.0,2195.2510,0.037593,1.039061,262.710,11.787,19.645,50903.914,131424
synthetic_D2,medium,synthetic_D2_medium_107,ProposedCEDEstimator,2314.0,2227.0878,0.037559,1.039025,262.710,11.787,19.645,50903.914,131424
synthetic_D2,medium,synthetic_D2_medium_108,ProposedCEDEstimator,1748.0,1754.9890,0.003998,1.003998,262.710,11.787,19.645,50903.914,131424
synthetic_D2,medium,synthetic_D2_medium_109,ProposedCEDEstimator,1011.0,977.4836,0.033152,1.034288,262.710,11.787,19.645,50903.914,131424
synthetic_D2,medium,synthetic_D2_medium_110,ProposedCEDEstimator,2966.0,2800.2077,0.055898,1.059207,262.710,11.787,19.645,50903.914,131424
synthetic_D2,medium,synthetic_D2_medium_111,ProposedCEDEstimator,2581.0,2472.6136,0.041994,1.043835,262.710,11.787,19.645,50903.914,131424
synthetic_D2,medium,synthetic_D2_medium_112,ProposedCEDEstimator,1408.0,1295.6091,0.079823,1.086748,262.710,11.787,19.645,50903.914,131424
synthetic_D2,medium,synthetic_D2_medium_113,ProposedCEDEstimator,2389.0,2214.4477,0.073065,1.078824,262.710,11.787,19.645,50903.914,131424
synthetic_D2,medium,synthetic_D2_medium_114,ProposedCEDEstimator,1187.0,1098.7555,0.074342,1.080313,262.710,11.787,19.645,50903.914,131424
synthetic_D2,medium,synthetic_D2_medium_115,ProposedCEDEstimator,1291.0,1321.9758,0.023994,1.023994,262.710,11.787,19.645,50903.914,131424
synthetic_D2,medium,synthetic_D2_medium_116,ProposedCEDEstimator,1237.0,1073.1463,0.132461,1.152685,262.710,11.787,19.645,50903.914,131424
synthetic_D2,medium,synthetic_D2_medium_117,ProposedCEDEstimator,1972.0,1990.5030,0.009383,1.009383,262.710,11.787,19.645,50903.914,131424
synthetic_D2,medium,synthetic_D2_medium_118,ProposedCEDEstimator,2207.0,2172.3073,0.015719,1.015970,262.710,11.787,19.645,50903.914,131424
synthetic_D2,medium,synthetic_D2_medium_119,ProposedCEDEstimator,2000.0,1881.2533,0.059373,1.063121,262.710,11.787,19.645,50903.914,131424
synthetic_D2,medium,synthetic_D2_medium_120,ProposedCEDEstimator,1202.0,1195.1175,0.005726,1.005759,262.710,11.787,19.645,50903.914,131424
synthetic_D2,medium,synthetic_D2_medium_121,ProposedCEDEstimator,1363.0,1280.3904,0.060609,1.064519,262.710,11.787,19.645,50903.914,131424
synthetic_D2,medium,synthetic_D2_medium_122,ProposedCEDEstimator,2024.0,1966.6637,0.028328,1.029154,262.710,11.787,19.645,50903.914,131424
synthetic_D2,medium,synthetic_D2_medium_123,ProposedCEDEstimator,1900.0,1808.8938,0.047951,1.050366,262.710,11.787,19.645,50903.914,131424
synthetic_D2,medium,synthetic_D2_medium_124,ProposedCEDEstimator,1517.0,1511.8427,0.003400,1.003411,262.710,11.787,19.645,50903.914,131424
synthetic_D2,medium,synthetic_D2_medium_125,ProposedCEDEstimator,1654.0,1665.0775,0.006697,1.006697,262.710,11.787,19.645,50903.914,131424
